class,object_name,image1,image2
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person02_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person02_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person02_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person02_boxing_d2_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person02_boxing_d3_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person02_boxing_d3_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person02_boxing_d4_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person02_boxing_d4_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person03_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person03_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person03_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person03_boxing_d2_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person03_boxing_d3_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person03_boxing_d3_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person03_boxing_d4_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person03_boxing_d4_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person05_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person05_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person05_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person05_boxing_d2_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person05_boxing_d3_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person05_boxing_d3_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person05_boxing_d4_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person05_boxing_d4_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person06_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person06_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person06_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person06_boxing_d2_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person06_boxing_d3_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person06_boxing_d3_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person06_boxing_d4_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person06_boxing_d4_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person07_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person07_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person07_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person07_boxing_d2_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person07_boxing_d3_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person07_boxing_d3_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person07_boxing_d4_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person07_boxing_d4_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person08_boxing_d1_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person08_boxing_d1_uncomp_trajectories_features.json
0,boxing,/home/murilo/dataset/KTH/VideosTrainValidationTest_Hough_Features_BAS_BOW_diff_person/test/boxing/person08_boxing_d2_uncomp_diffs_full.json,/home/murilo/dataset/KTH/VideosTrainValidationTest_trajectory_person_l20_s10_all/test/boxing/person08_boxing_d2_uncomp_trajectories_features.json
