image,object_name,class
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/daria_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/shahar_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/ira_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/denis_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/lena_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/moshe_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/ido_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/eli_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/lyova_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/lyova_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/eli_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/moshe_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/lena_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/daria_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/shahar_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/denis_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/ido_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/ira_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/ido_jump_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/eli_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/lena_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/shahar_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/ira_jump_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/moshe_jump_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/lyova_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/denis_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jump/daria_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/moshe_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/lyova_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/ido_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/shahar_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/ira_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/lena_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/denis_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/eli_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/pjump/daria_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/ira_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/ido_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/eli_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/lena_run2_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/shahar_run_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/lena_run1_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/denis_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/daria_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/moshe_run_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/run/lyova_run_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/shahar_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/daria_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/lena_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/ido_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/moshe_side_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/eli_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/denis_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/lyova_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/side/ira_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/shahar_skip_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/lena_skip1_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/ira_skip_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/eli_skip_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/denis_skip_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/moshe_skip_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/daria_skip_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/ido_skip_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/lyova_skip_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/skip/lena_skip2_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/walk/lyova_walk_diffs_full.json,walk,7
