image,class,object_name
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/ira_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/ido_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/eli_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/shahar_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/moshe_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/denis_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/lyova_bend_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/daria_bend_trajectories_features.json,0,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/lena_bend_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/lena_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/ira_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/shahar_jack_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/denis_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/moshe_jack_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/daria_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/eli_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/lyova_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/ido_jack_trajectories_features.json,1,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/lena_jump_trajectories_features.json,2,jump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/ido_jump_trajectories_features.json,2,jump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/moshe_jump_trajectories_features.json,2,jump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/eli_jump_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/shahar_jump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/daria_jump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/ira_jump_trajectories_features.json,2,jump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/lyova_jump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jump/denis_jump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/eli_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/shahar_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/daria_pjump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/lena_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/lyova_pjump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/ido_pjump_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/moshe_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/ira_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/pjump/denis_pjump_trajectories_features.json,3,pjump
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/lena_run2_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/lena_run1_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/denis_run_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/shahar_run_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/moshe_run_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/lyova_run_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/eli_run_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/daria_run_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/ido_run_trajectories_features.json,6,skip
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/run/ira_run_trajectories_features.json,4,run
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/lyova_side_trajectories_features.json,5,side
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/side/eli_side_trajectories_features.json,5,side
