object_name,image,class
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/daria_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/shahar_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/ira_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/denis_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/lena_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/moshe_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/ido_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/eli_bend_diffs_full.json,0
bend,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/lyova_bend_diffs_full.json,0
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/lyova_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/eli_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/moshe_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/lena_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/daria_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/shahar_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/denis_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/ido_jack_diffs_full.json,1
jack,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/ira_jack_diffs_full.json,1
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/ido_jump_diffs_full.json,2
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/eli_jump_diffs_full.json,2
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/lena_jump_diffs_full.json,2
jump,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/shahar_jump_diffs_full.json,2
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/ira_jump_diffs_full.json,6
skip,/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/moshe_jump_diffs_full.json,6
